status,experiment,gene,condition,animal,sample_id,z_planes,height,width,plane_objects,global_3d_objects,single_plane_objects,stitch_links,nuclear_image,output_dir,completed_at_utc,maximum_z_planes_per_object,median_z_planes_per_object,p95_z_planes_per_object,sample_path,script_version,stitch_threshold,tracking_backend
completed,306,wnt1,0hr_Amputation,Image1,306__0hr_Amputation__Image1,55,3114,7128,52397,6349,1177,46048,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image1/405/0hr_Amputation_Image1_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image1/565/results/cellpose_label,2026-08-22T15:50:01.390508+00:00,49,7.0,21.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,0hr_Amputation,Image2,306__0hr_Amputation__Image2,70,4110,9240,132303,18038,3495,114265,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image2/405/0hr_Amputation_Image2_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image2/565/results/cellpose_label,2026-08-22T20:37:45.596405+00:00,70,6.0,21.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,0hr_Amputation,Image3,306__0hr_Amputation__Image3,78,4062,8904,128215,11317,1556,116898,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image3/405/0hr_Amputation_Image3_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image3/565/results/cellpose_label,2026-08-23T01:44:54.280209+00:00,68,10.0,29.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Amputation/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,0hr_Incision,Image1,306__0hr_Incision__Image1,58,3378,4866,48247,5882,968,42365,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image1/405/0hr_Incision_Image1_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image1/565/results/cellpose_label,2026-08-23T03:22:02.090916+00:00,51,7.0,21.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,0hr_Incision,Image2,306__0hr_Incision__Image2,67,3552,5646,53452,4549,595,48903,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image2/405/0hr_Incision_Image2_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image2/565/results/cellpose_label,2026-08-23T05:41:52.409552+00:00,67,12.0,26.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,0hr_Incision,Image3,306__0hr_Incision__Image3,94,4236,6738,119755,14531,2781,105224,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image3/405/0hr_Incision_Image3_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image3/565/results/cellpose_label,2026-08-23T10:24:47.011617+00:00,72,6.0,22.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/0hr_Incision/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,6hr_Amputation,Image1,306__6hr_Amputation__Image1,37,4884,10008,79203,12395,2299,66808,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image1/405/6hr_Amputation_Image1_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image1/565/results/cellpose_label,2026-08-19T22:00:49.983359+00:00,37,6.0,16.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image1,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,6hr_Amputation,Image2,306__6hr_Amputation__Image2,51,4326,9174,91718,12518,2166,79200,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image2/405/6hr_Amputation_Image2_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image2/565/results/cellpose_label,2026-08-23T14:06:09.653096+00:00,51,7.0,18.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image2,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,6hr_Amputation,Image3,306__6hr_Amputation__Image3,52,5088,9252,110580,15281,3011,95299,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image3/405/6hr_Amputation_Image3_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image3/565/results/cellpose_label,2026-08-23T18:31:29.330494+00:00,52,6.0,19.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Amputation/Image3,1.1.3,0.25,cellpose.utils.stitch3D
completed,306,wnt1,6hr_Incision,Image1,306__6hr_Incision__Image1,69,4704,5508,92695,7771,1089,84924,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image1/405/6hr_Incision_Image1_405.tif,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image1/565/results/cellpose_label,2026-08-23T21:31:10.199027+00:00,67,11.0,28.0,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image1,1.1.3,0.25,cellpose.utils.stitch3D
